IRTT,TTOC,MITR,MATR,Label,,
0.004345,0.24373,0.010792,0.048848,1,,
0.005714524,0.164951905,0.009400571,0.016040381,1,,
0.004436727,0.161428318,0.009642864,0.014439455,1,,
0.005300087,0.166848565,0.009291478,0.021015174,1,,
0.004360304,0.155357348,0.009209174,0.01589,1,,
0.004624435,0.186185261,0.00942887,0.03256387,1,,
0.005340304,0.16395987,0.009382913,0.020141174,1,,
0.009956826,0.157113304,0.009424652,0.015351174,1,,
0.004958478,0.164000478,0.009384348,0.021015957,1,,
0.008613435,0.272750652,0.009214522,0.044548696,1,,
0.006454043,0.173728217,0.009528739,0.021053435,1,,
0.004639826,0.225176304,0.010051391,0.046416652,1,,
0.005531391,0.185344217,0.009334652,0.037697652,1,,
0.005907304,0.215892043,0.009129609,0.038382478,1,,
0.004196304,0.156527174,0.009397043,0.016005739,1,,
0.00521413,0.180890391,0.009444391,0.034728826,1,,
0.005002609,0.161800391,0.009106348,0.02016,1,,
0.004462348,0.152592304,0.009295391,0.015264435,1,,
0.004221478,0.159060174,0.009397609,0.013958435,1,,
0.005311826,0.161811696,0.009541087,0.018465652,1,,
0.005471043,0.26339387,0.009490043,0.044761739,1,,
0.004093391,0.159432739,0.009394652,0.015292957,1,,
0.009347609,0.228599217,0.009333087,0.047735,1,,
0.014545391,0.191244696,0.009376,0.019934174,1,,
0.00800787,0.196592043,0.010499217,0.026454217,1,,
0.007469348,0.17695713,0.009451913,0.019377391,1,,
0.011827391,0.169370043,0.009214174,0.016336217,1,,
0.005231391,0.191454217,0.009460739,0.034691957,1,,
0.005834696,0.180238391,0.009298522,0.022979435,1,,
0.010429913,0.291284826,0.011048696,0.045523435,1,,
0.005210696,0.185086261,0.009438696,0.031595826,1,,
0.006917565,0.174744217,0.009275783,0.019498478,1,,
0.007313304,0.175661652,0.009470261,0.016927478,1,,
0.004531348,0.215557478,0.009496565,0.045139348,1,,
0.00553213,0.181084174,0.009364913,0.03406513,1,,
0.005449217,0.198344478,0.009326478,0.031187609,1,,
0.00688413,0.197053783,0.009560043,0.029201174,1,,
0.005528696,0.202660174,0.009410435,0.034418174,1,,
0.004378087,0.159296087,0.009329739,0.015156652,1,,
0.008497,0.168322435,0.009347261,0.016966565,1,,
0.009823652,0.180709304,0.009352913,0.027523043,1,,
0.005641652,0.169122696,0.009607,0.021360348,1,,
0.004928739,0.159253957,0.009356304,0.014085087,1,,
0.009438435,0.234393913,0.009499304,0.045158261,1,,
0.004616565,0.160380957,0.009263391,0.014783217,1,,
0.00437887,0.159955652,0.009541652,0.013827348,1,,
0.006974,0.166699565,0.009314087,0.018188,1,,
0.004887826,0.180327652,0.009528391,0.029979739,1,,
0.009589348,0.223745435,0.009402522,0.044111652,1,,
0.004255435,0.178141348,0.009321783,0.021990087,1,,
0.005927565,0.152655391,0.009274478,0.014859652,1,,
0.005359304,0.183523696,0.009404913,0.034199739,1,,
0.007983826,0.196912565,0.009203435,0.029705087,1,,
0.008355783,0.166038957,0.008779826,0.017274783,1,,
0.004722783,0.16266613,0.009386391,0.016146565,1,,
0.00563887,0.168676783,0.009356435,0.020596261,1,,
0.005504739,0.19457887,0.009387261,0.028879565,1,,
0.006815913,0.183465783,0.009203565,0.03175613,1,,
0.005516,0.189838043,0.009333261,0.027159,1,,
0.005560913,0.168139739,0.009305435,0.02036513,1,,
0.004651609,0.180854261,0.009212652,0.030105826,1,,
0.004488435,0.145590826,0.009136652,0.013592522,1,,
0.004401652,0.166755,0.009443652,0.018587174,1,,
0.006765435,0.16132913,0.009296435,0.015022522,1,,
0.007966,0.161355,0.009526739,0.015300391,1,,
0.008243217,0.177004957,0.009285261,0.029746217,1,,
0.005749435,0.164217435,0.009258391,0.018852478,1,,
0.005576043,0.158253261,0.009403609,0.014115609,1,,
0.005833043,0.165359652,0.009404913,0.017621043,1,,
0.008324348,0.159229391,0.009177043,0.015542957,1,,
0.004915522,0.168534174,0.009305261,0.019640043,1,,
0.005692217,0.163253652,0.009166609,0.019976957,1,,
0.005581783,0.160363391,0.009410435,0.020240217,1,,
0.005464348,0.198938391,0.009352696,0.029395435,1,,
0.005482391,0.214074478,0.009259609,0.045710087,1,,
0.00726887,0.162514565,0.009251043,0.019002174,1,,
0.00504313,0.175050478,0.009338609,0.034546957,1,,
0.005780348,0.175934739,0.009366696,0.035133522,1,,
0.005525391,0.174200087,0.009184478,0.03428213,1,,
0.005963174,0.16815013,0.01029613,0.020885913,1,,
0.004333609,0.156051043,0.009538696,0.015744696,1,,
0.005369609,0.163989391,0.009417826,0.02075687,1,,
0.00732387,0.157764957,0.00944087,0.018759826,1,,
0.00429213,0.163417652,0.010677565,0.01503187,1,,
0.004616348,0.162901217,0.009388217,0.013614739,1,,
0.005470217,0.265168478,0.01134913,0.045890261,1,,
0.004339696,0.251692957,0.009708391,0.046631957,1,,
0.005485435,0.198829739,0.009505435,0.033254217,1,,
0.005378652,0.228408652,0.00944513,0.048139087,1,,
0.00802887,0.210710652,0.010691261,0.033467522,1,,
0.005004435,0.183404652,0.009383522,0.031969739,1,,
0.005518522,0.224292826,0.010842739,0.044787,1,,
0.005490522,0.172377826,0.009535739,0.021222435,1,,
0.004546739,0.20076513,0.009404783,0.034752957,1,,
0.014189739,0.229568087,0.01055,0.030416609,1,,
0.005851609,0.204341913,0.009448826,0.03403487,1,,
0.004911565,0.215173478,0.009427522,0.032398217,1,,
0.005860478,0.181497174,0.009133739,0.034235043,1,,
0.005379348,0.161248696,0.009283609,0.017089609,1,,
0.005388087,0.165365348,0.009297913,0.019841478,1,,
0.004510609,0.178451696,0.009303783,0.034758739,1,,
0.005256739,0.162482696,0.009346609,0.019735652,1,,
0.005112522,0.153220174,0.009240826,0.019486652,1,,
0.00383913,0.142494217,0.009383435,0.013838478,1,,
0.003801957,0.14131613,0.009349435,0.011831957,1,,
0.004334304,0.151820609,0.009367696,0.012982478,1,,
0.003665435,0.218402739,0.009266217,0.044848043,1,,
0.004642565,0.207687609,0.008337261,0.039881,1,,
0.003921174,0.204391174,0.009318826,0.047383391,1,,
0.004752957,0.15593687,0.008869348,0.024073,1,,
0.003835696,0.17525587,0.009300174,0.036744957,1,,
0.003696609,0.158485609,0.009281261,0.022476957,1,,
0.003675565,0.142656913,0.008204609,0.013943478,1,,
0.005253957,0.164371435,0.008575043,0.035040043,1,,
0.008253783,0.200603348,0.009225087,0.045520739,1,,
0.010462783,0.200408696,0.00903387,0.031084739,1,,
0.005247913,0.174732,0.009165826,0.035470391,1,,
0.004381304,0.181921261,0.009373174,0.031853565,1,,
0.005550261,0.168799609,0.008582043,0.020707609,1,,
0.003833043,0.159436043,0.009347739,0.022728609,1,,
0.003539522,0.145009609,0.009324348,0.015730043,1,,
0.004771,0.178242174,0.00912,0.012278913,1,,
0.005201522,0.178696783,0.009367,0.032510826,1,,
0.004775957,0.155267609,0.009292304,0.020413609,1,,
0.010555261,0.152189522,0.009065957,0.016272391,1,,
0.004926826,0.153619913,0.008392478,0.02128813,1,,
0.005069652,0.159185957,0.009148478,0.02005687,1,,
0.005017565,0.173421391,0.009322304,0.031149696,1,,
0.008202174,0.154565,0.009319696,0.016950609,1,,
0.004168261,0.17395413,0.009406174,0.033416,1,,
0.006138261,0.155561739,0.009345652,0.019875565,1,,
0.004951304,0.151520043,0.009310957,0.02102313,1,,
0.003547261,0.152604826,0.008937304,0.014970957,1,,
0.004117565,0.157350043,0.00943713,0.02049187,1,,
0.01111187,0.216030522,0.009273609,0.044710696,1,,
